UseCaseId,UseCaseName,CandidateDXService,RecommendedApproach,Reason,RAGSuitable,BISuitable,AutomationSuitable,RuleBasedCheckSuitable,HumanReviewRequired,DeepDiveRequired,DiscussionPoint
UC-001,Door schedule quality check,Rule-based quality checker,Rule-based Check + Human Review,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for BI or reporting because it can support issue tracking, comparison, or trend analysis. It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",False,True,True,True,False,True,"Confirm detailed requirements, stakeholders, and source-of-truth documents before defining a service outline. Define metrics, categories, and aggregation views for reporting or dashboarding. Confirm which repeated steps can be automated safely. Define clear validation rules and exception handling."
UC-002,Room name consistency check,Rule-based quality checker,Rule-based Check + Human Review,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for BI or reporting because it can support issue tracking, comparison, or trend analysis. It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",False,True,True,True,False,True,"Confirm detailed requirements, stakeholders, and source-of-truth documents before defining a service outline. Define metrics, categories, and aggregation views for reporting or dashboarding. Confirm which repeated steps can be automated safely. Define clear validation rules and exception handling."
UC-003,COBie Component.Space validation,Rule-based quality checker,Rule-based Check + Human Review,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",False,False,True,True,False,True,"Confirm detailed requirements, stakeholders, and source-of-truth documents before defining a service outline. Confirm which repeated steps can be automated safely. Define clear validation rules and exception handling."
UC-004,BIM rule explanation assistant,RAG assistant,RAG Assistant + Human Review,"It is suitable for RAG support because it may require reference documents, explanations, or draft generation. It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",True,False,True,False,False,True,"Confirm detailed requirements, stakeholders, and source-of-truth documents before defining a service outline. Identify reference documents that should be used for RAG support. Confirm which repeated steps can be automated safely."
UC-005,RFI draft support,Human-reviewed AI drafting support,RAG Assistant + Human Review,"It is suitable for RAG support because it may require reference documents, explanations, or draft generation. Human review is required because the task may involve design, construction, legal, risk, responsibility, or high-impact decisions. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",True,False,False,False,True,True,"Clarify where human review and final approval are required. Confirm detailed requirements, stakeholders, and source-of-truth documents before defining a service outline. Identify reference documents that should be used for RAG support."
UC-006,Meeting minutes summarization,Automation support tool,Automation Support,"It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",False,False,True,False,False,True,"Confirm detailed requirements, stakeholders, and source-of-truth documents before defining a service outline. Confirm which repeated steps can be automated safely."
UC-007,Construction issue classification,BI dashboard and classification support,DX Service Candidate Review,"It is suitable for BI or reporting because it can support issue tracking, comparison, or trend analysis. Human review is required because the task may involve design, construction, legal, risk, responsibility, or high-impact decisions. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",False,True,False,False,True,True,"Clarify where human review and final approval are required. Confirm detailed requirements, stakeholders, and source-of-truth documents before defining a service outline. Define metrics, categories, and aggregation views for reporting or dashboarding."
UC-008,Drawing revision impact review,Human-reviewed risk review support,RAG Assistant + Human Review,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for RAG support because it may require reference documents, explanations, or draft generation. Human review is required because the task may involve design, construction, legal, risk, responsibility, or high-impact decisions. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",True,False,False,True,True,True,"Clarify where human review and final approval are required. Confirm detailed requirements, stakeholders, and source-of-truth documents before defining a service outline. Identify reference documents that should be used for RAG support. Define clear validation rules and exception handling."
UC-009,Equipment list comparison,Automation support tool and rule-based checker,Rule-based Check + Human Review,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for automation support because the task includes repetitive summarization, comparison, extraction, or list generation. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",False,False,True,True,False,True,"Confirm detailed requirements, stakeholders, and source-of-truth documents before defining a service outline. Confirm which repeated steps can be automated safely. Define clear validation rules and exception handling."
UC-010,Facility management handover data check,RAG assistant and human-reviewed checklist,RAG Assistant + Human Review,"It is suitable for rule-based checking because it uses structured data or clear validation logic. It is suitable for RAG support because it may require reference documents, explanations, or draft generation. It is suitable for BI or reporting because it can support issue tracking, comparison, or trend analysis. Human review is required because the task may involve design, construction, legal, risk, responsibility, or high-impact decisions. A deep dive is required because additional stakeholder confirmation, source-of-truth definition, or detailed criteria may be needed.",True,True,False,True,True,True,"Clarify where human review and final approval are required. Confirm detailed requirements, stakeholders, and source-of-truth documents before defining a service outline. Identify reference documents that should be used for RAG support. Define metrics, categories, and aggregation views for reporting or dashboarding. Define clear validation rules and exception handling."
